Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
Gothic 3,11/14/2006,Piranha Bytes,Aspyr,Western RPG,Teen,PC
Guitar Hero III: Legends of Rock,10/28/2007,Neversoft Entertainment,RedOctane,Rhythm,Teen,Wii
Xenoraid,11/8/2016,10tons,10tons,Vertical Shoot-'Em-Up,Everyone +10,PlayStation 4
The Sims: Livin' Large,8/27/2000,Maxis,EA Games,Virtual Life,Teen,PC
"Warhammer 40,000: Space Marine",9/6/2011,Relic Entertainment,THQ,Third Person Shooter,Mature,PC
Star Wars Episode III: Revenge of the Sith,5/4/2005,Double Helix Games,LucasArts,Action Adventure,Teen,PlayStation 2
Saints Row IV,8/19/2013,Volition Inc.,Deep Silver,Open-World Action,Mature,PC
The Hobbit: The Prelude to the Lord of the Rings,11/11/2003,Inevitable Entertainment,Sierra Entertainment,Action Adventure,Everyone,GameCube
Lost Orbit,5/12/2015,PixelNAUTS,PixelNAUTS,2D Platformer,Teen,PC
SwapQuest,2/23/2016,Constantin Graf,Constantin Graf,JRPG,Everyone +10,iOS (iPhone/iPad)
Command & Conquer: Red Alert 2 - Yuri's Revenge,10/10/2001,Westwood Studios,Electronic Arts,Command RTS,Teen,PC
Lumines,3/22/2005,Q Entertainment,Ubisoft,Matching Puzzle,Everyone +10,PSP
Armored Core 3,9/5/2002,From Software,Agetec,Vehicle Combat Sim,Teen,PlayStation 2
Amped 2,10/28/2003,Indie Built,Microsoft Game Studios,Skiing,Everyone,Xbox
Sword of the Stars II: Lords of Winter,10/28/2011,Kerberos Productions,Paradox Interactive,Strategy,Teen,PC
Neon White,6/16/2022,Angel Matrix,Annapurna Interactive,FPS,Teen,Nintendo Switch
BlazBlue: Continuum Shift Extend,2/14/2012,Arc System Works,Aksys Games,2D Fighting,Teen,PlayStation Vita
Cosmic Star Heroine,8/14/2018,Zeboyd Games,Limited Run Games,JRPG,Teen,PlayStation 4
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,3/21/2023,Skybound Games,Skybound Games,Survival,Mature,PlayStation 5
MXGP: The Official Motocross Videogame,11/18/2014,Milestone S.r.l,Bandai Namco Games,Arcade Racing,Everyone,PlayStation 3
Mortal Kombat XL,3/1/2016,NetherRealm Studios,Warner Bros. Interactive Entertainment,2D Fighting,Mature,Xbox One
Resident Evil 5: Desperate Escape,3/3/2010,Capcom,Capcom,Survival,Mature,PlayStation 3
Silent Hunter 5: Battle of the Atlantic,3/2/2010,Ubisoft Romania,Ubisoft,Marine Combat Sim,Teen,PC
Saban's Power Rangers Megaforce,11/5/2013,Digital Works Entertainment,Namco Bandai Games,2D Beat-'Em-Up,Everyone +10,3DS
WWE 2K14,10/29/2013,Yuke's,2K Games,Wrestling,Teen,Xbox 360
Ratchet & Clank: Size Matters,2/13/2007,High Impact Games,SCEA,3D Platformer,Everyone +10,PSP
Unepic,1/16/2014,EnjoyUp Games,EnjoyUp Games,Action RPG,Teen,PC
The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,11/28/2006,EA LA,EA Games,Real-Time Strategy,Teen,PC
MLB The Show 18,3/27/2018,Sony Interactive Entertainment,Sony Interactive Entertainment,Baseball Sim,Everyone,PlayStation 4
The Mage's Tale,6/20/2017,InXile Entertainment,InXile Entertainment,Adventure,Teen,PC
The Witcher 3: Wild Hunt - Blood and Wine,5/30/2016,CD Projekt Red Studio,CD Projekt,Action RPG,Mature,PC
Port Royale 4,9/25/2020,Gaming Minds Studios,Kalypso,Management,Everyone +10,PC
Just Dance 2024 Edition,10/24/2023,Ubisoft,Ubisoft,Dancing,Everyone,Nintendo Switch
Dying Light,1/27/2015,Techland,Warner Bros. Interactive Entertainment,Survival,Mature,Xbox One
Conflict: Desert Storm,4/22/2003,Pivotal Games,Gotham Games,Tactical Third Person Shooter,Teen,Xbox
Exerbeat,5/17/2011,Namco Bandai Games,Namco Bandai Games,Sports,Everyone,Wii
Far Cry 3: Blood Dragon,5/1/2013,Ubisoft Montreal,Ubisoft,FPS,Mature,Xbox 360
Yu-Gi-Oh! World Championship 2007,3/20/2007,Konami,Konami,Card Battle,Everyone,DS
Counter-Strike: Source,10/7/2004,Valve Software,Valve Software,Tactical FPS,Mature,PC
Super Crush K.O.,1/16/2020,Vertex Pop,Vertex Pop,2D Platformer,Everyone +10,Nintendo Switch
Allegiance,3/31/2000,Microsoft Game Studios,Microsoft Game Studios,Space Combat Sim,Everyone,PC
Harry Potter and the Prisoner of Azkaban,6/2/2004,EA Games,EA Games,Action Adventure,Everyone,PC
World of Final Fantasy,10/25/2016,Square Enix,Square Enix,JRPG,Everyone +10,PlayStation 4
Star Wars: Bounty Hunter,11/19/2002,LucasArts,LucasArts,Third Person Shooter,Teen,PlayStation 2
Half-Life,11/19/1998,Valve Software,Sierra Entertainment,FPS,Mature,PC
Pool Panic,7/19/2018,Rekim,Adult Swim,Action Adventure,Everyone +10,Nintendo Switch
Bejeweled Twist,10/27/2008,PopCap,PopCap,Matching Puzzle,Everyone,PC
Jak II,10/14/2003,Naughty Dog,SCEA,3D Platformer,Teen,PlayStation 2
Senran Kagura Reflexions,9/13/2018,Honey Parade Games,XSEED Games,Adventure,Mature,Nintendo Switch
Majesty 2: Kingmaker,3/26/2010,1C Entertainment,Paradox Interactive,Strategy,Teen,PC
Bird Mania 3D,5/3/2012,Teyon,Teyon,Arcade,Everyone,3DS
Heavy Fire: Red Shadow,10/16/2018,Mastiff,Mastiff,FPS,Teen,Xbox One
TRON RUN/r,2/16/2016,Sanzaru Games,Disney Interactive Studios,3D Platformer,Everyone +10,PC
Traitors Gate,4/30/2000,Daydream Software,DreamCatcher Interactive,Adventure,Everyone,PC
Resident Evil: Revelations,2/7/2012,Capcom,Capcom,Survival,Mature,PlayStation 3
MechWarrior 4: Black Knight Expansion,10/31/2001,Cyberlore Studios,Microsoft Game Studios,Vehicle Combat Sim,Teen,PC
Wallace & Gromit in Project Zoo,10/7/2003,Frontier Developments,Bam Entertainment,3D Platformer,Everyone,Xbox
Star Trek: Elite Force II,6/25/2003,Ritual Entertainment,Activision,FPS,Teen,PC
Tales of Symphonia Remastered,2/17/2023,Bandai Namco Games,Bandai Namco Games,Action RPG,Teen,Nintendo Switch
Super Smash Bros. Ultimate,12/7/2018,Nintendo,Nintendo,2D Fighting,Everyone +10,Nintendo Switch
The Sims 2: Nightlife,9/13/2005,Maxis,EA Games,Virtual Life,Teen,PC
Insurgency: Sandstorm,12/12/2018,New World Interactive,Focus Home Interactive,Tactical FPS,Mature,PC
Yo-kai Watch,11/6/2015,Level 5,Nintendo,Trainer RPG,Everyone +10,3DS
MechCommander 2,7/18/2001,Microsoft Game Studios,Microsoft Game Studios,Strategy,Teen,PC
After Us,5/23/2023,Piccolo,Private Division,Action Adventure,Teen,PlayStation 5
SaGa Scarlet Grace: Ambitions,12/3/2019,Square Enix,Square Enix,JRPG,Teen,Nintendo Switch
Haven Park,8/5/2021,Bubble Studio,Mooneye Studios,Third-Person Adventure,Everyone,PC
Capsized,7/5/2013,Koolhaus Games,Namco Bandai Games,2D Platformer,Teen,Xbox 360
The Godfather,3/21/2006,Page 44 Studios,Electronic Arts,Open-World Action,Mature,PC
Frostpunk,4/24/2018,11 bit studios,Merge Games,Management,Mature,PC
Phantasy Star Universe,10/25/2006,Sonic Team,Sega,Action RPG,Teen,PlayStation 2
Disney/Pixar Toy Story Racer,3/5/2001,Traveller's Tales,Activision,Auto Racing,Everyone,PlayStation
Harry Potter for Kinect,10/9/2012,Eurocom,Warner Bros. Interactive Entertainment,Action Adventure,Everyone +10,Xbox 360
Narco Terror,7/31/2013,Koch Media,Deep Silver,Third Person Shooter,Mature,Xbox 360
Medieval Dynasty,12/17/2020,Render Cube,Toplitz Productions,Survival,Teen,PC
Max: The Curse of Brotherhood,12/20/2013,Press Play,Microsoft Game Studios,Action Adventure,Everyone +10,Xbox 360
Need for Speed: ProStreet,11/15/2007,EA Black Box,EA Games,Auto Racing Sim,Everyone +10,Xbox 360
Saints Row IV: Re-Elected & Gat Out of Hell,1/20/2015,Volition Inc.,Deep Silver,Open-World Action,Mature,Xbox One
Monster Jam Steel Titans 2,3/2/2021,Rainbow Studios,THQ Nordic,Auto Racing,Everyone,Xbox One
Picross S 3,4/25/2019,Jupiter Corporation,Jupiter Corporation,Logic Puzzle,Everyone,Nintendo Switch
Mighty Goose,6/5/2021,Blastmode,Playism,2D Platformer,Everyone +10,Nintendo Switch
Tak and the Power of Juju,10/15/2003,Avalanche Software,THQ,3D Platformer,Everyone,PlayStation 2
Game of Thrones,5/15/2012,Cyanide,Atlus,Western RPG,Mature,PlayStation 3
Bleach: The Blade of Fate,10/9/2007,Treasure,Sega,2D Fighting,Teen,DS
Crazy Taxi (1999),11/24/2010,Hitmaker,Sega,Auto Racing,Everyone +10,PlayStation 2
Commanders: Attack,2/13/2008,Southend Interactive,Sierra Online,Turn-Based Tactics,Everyone +10,Xbox 360
Nostradamus: The Last Prophecy,9/30/2007,Kheops Studio,MC2 Entertainment,Adventure,Everyone +10,PC
Avatar: Frontiers of Pandora,12/7/2023,Massive Entertainment,Ubisoft,Open-World Action,Teen,PC
Biomutant,5/25/2021,Experiment 101,THQ Nordic,Action RPG,Teen,Xbox One
Killzone: Liberation,10/31/2006,Guerrilla,SCEA,Top-Down Shoot-'Em-Up,Teen,PSP
Undertow,11/21/2007,Chair Entertainment,Chair Entertainment,Horizontal Shoot-'Em-Up,Everyone +10,Xbox 360
New Tales from the Borderlands,10/21/2022,Gearbox Software,2K Games,Adventure,Mature,PC
Jeremy McGrath's Offroad,6/27/2012,2XL Games,D3Publisher,Auto Racing Sim,Everyone,Xbox 360
Shadow of the Beast,5/17/2016,Heavy Spectrum,Sony Interactive Entertainment,Action Adventure,Mature,PlayStation 4
Two Worlds II,1/25/2011,Reality Pump,SouthPeak Games,Action RPG,Mature,PC
Mega Man X: Command Mission,9/21/2004,"Valuewave Co.,Ltd.",Capcom,JRPG,Everyone,PlayStation 2
Command & Conquer: Red Alert 2,10/21/2000,Westwood Studios,Electronic Arts,Command RTS,Teen,PC
